Manufacturer,Model,Battery capacity,Consumption,Range,Website
Mercedes-Benz ,eActros 600,600 kWh,1.2 kWh/km,500 km,link
MAN ,eGTX,480 kWh,1.2 kWh/km,400 km,link
Scania,Regional BEV,624 kWh,1.56 kWh/km,400 km,https://www.scania.com/group/en/home/electrification/e-mobility-hub/stronge-longer-and-even-more-efficient-meet-scanias-new-batter-electric-trucks.html
Volvo,FH Aero Electric,780 kWh,1.30 kWh/km,600 km,https://www.volvotrucks.com/en-en/news-stories/press-releases/2025/may/600-km-range-and-superfast-charging-meet-volvo-s-new-electric1.html
IVECO,S-eWay (HD BEV),738 kWh,1.48 kWh/km,500 km,https://www.iveco.com/global/Press/PressReleases/2023/IVECO-to-produce-and-market-its-Heavy-Duty-Battery-Electric-Vehicle-and-Heavy-Duty-Fuel-Cell-Electric-Vehicle
